epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.328,3.50103,5.91189,2.98684,0,0,0,0,3.03752,5.90626,2.94976,3.562e-05,3.562e-05,3.562e-05
2,201.631,3.0808,5.79599,2.64907,0,0,0,0,2.64941,5.79679,2.50125,4.86487e-05,4.86487e-05,4.86487e-05
3,304.762,2.86661,5.7142,2.42381,0,0,0,0,2.43726,5.73599,2.25134,3.7264e-05,3.7264e-05,3.7264e-05
