epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.3532,2.81994,3.6741,1.90799,0.01993,0.26443,0.04096,0.01878,2.95601,3.34957,1.97107,2.001e-05,2.001e-05,2.001e-05
2,45.2953,2.77265,3.58429,1.84359,0.48298,0.11029,0.07263,0.02546,2.72516,3.31678,1.8639,4.20677e-05,4.20677e-05,4.20677e-05
3,51.1088,2.74804,3.54058,1.80912,0.71582,0.05365,0.09663,0.03531,2.43059,3.28547,1.63894,5.88427e-05,5.88427e-05,5.88427e-05
4,56.2256,2.31986,3.9816,1.72214,0.71346,0.05896,0.10582,0.04024,2.2938,3.20057,1.5044,7.03351e-05,7.03351e-05,7.03351e-05
5,61.474,2.29583,3.32479,1.54436,0.69956,0.06198,0.11381,0.04684,2.29653,3.11771,1.50444,7.65449e-05,7.65449e-05,7.65449e-05
6,66.5803,2.13918,3.24654,1.47127,0.67868,0.07174,0.11981,0.04905,2.34296,3.04338,1.52727,7.7472e-05,7.7472e-05,7.7472e-05
7,71.7314,2.00831,3.16195,1.4172,0.80236,0.08385,0.12173,0.04808,2.40878,3.00429,1.53897,7.31165e-05,7.31165e-05,7.31165e-05
8,76.805,2.0101,3.15418,1.41284,0.76996,0.09533,0.13873,0.05974,2.34983,2.93601,1.51667,6.34784e-05,6.34784e-05,6.34784e-05
9,81.9643,2.03081,3.09567,1.36876,0.75465,0.11928,0.15829,0.07133,2.2434,2.8715,1.47614,4.85576e-05,4.85576e-05,4.85576e-05
10,87.1737,2.04473,3.13018,1.3739,0.73074,0.14836,0.16902,0.07815,2.15754,2.82576,1.44026,2.83542e-05,2.83542e-05,2.83542e-05
